track_key,song,artist,entry_date,exit_date,total_days,peak_position,album_type,total_tracks,is_explicit,duration_ms,avg_popularity,max_popularity,peak_date,days_to_peak,is_still_active,album_size_bucket
pacto (feat. luar la l) || jay wheeler,Pacto (feat. Luar La L),Jay Wheeler,2024-06-01,2024-07-01,31,38,album,9,True,284021,70.61290322580645,72,2024-06-22,21,False,Album (6-12)
si sabe ferxxo || blessd,SI SABE FERXXO,Blessd,2025-01-28,2025-02-28,31,27,album,14,True,152500,82.25806451612904,86,2025-02-01,4,False,Large Album (13+)
besos (with kidd keo & neelo) || swaggglock & kidd keo & neelo,BESOS (with Kidd Keo & Neelo),SwaggGlock & Kidd Keo & Neelo,2024-09-14,2024-10-13,30,22,single,1,True,172852,75.1,77,2024-09-19,5,False,Single (1)
"peso pluma: bzrp music sessions, vol. 55 || bizarrap & peso pluma","Peso Pluma: Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma,2024-06-03,2024-07-01,29,2,single,1,True,188361,94.44827586206895,98,2024-06-03,0,False,Single (1)
miamor || aitana & rels b,miamor,Aitana & Rels B,2024-08-26,2024-09-23,29,4,single,1,False,159360,75.51724137931035,79,2024-08-26,0,False,Single (1)
quizás si quizás no || alvaro diaz & quevedo,QUIZÁS SI QUIZÁS NO,Alvaro Diaz & Quevedo,2024-11-25,2024-12-23,29,13,single,1,False,203213,73.62068965517241,79,2024-11-25,0,False,Single (1)
chorrito pa las animas || feid,CHORRITO PA LAS ANIMAS,Feid,2024-05-18,2024-06-14,28,32,single,6,True,168133,91.0,91,2024-05-18,0,False,Album (6-12)
classy 101 || feid,CLASSY 101,Feid,2024-12-02,2025-01-17,28,16,album,10,True,195586,75.21428571428571,84,2024-12-02,0,False,Album (6-12)
perdió este culo || bad gyal,Perdió Este Culo,Bad Gyal,2025-01-28,2025-02-24,28,18,album,15,True,159253,74.07142857142857,78,2025-01-31,3,False,Large Album (13+)
bad boy || chris jedi & gaby music & dei v,BAD BOY,Chris Jedi & Gaby Music & Dei V,2025-02-11,2025-03-10,28,16,single,1,True,235146,73.39285714285714,78,2025-02-11,0,False,Single (1)
el malo || eladio carrion,El Malo,Eladio Carrion,2025-01-21,2025-02-17,27,20,album,17,False,209655,77.85185185185185,81,2025-01-25,4,False,Large Album (13+)
copa vacía || shakira & manuel turizo,Copa Vacía,Shakira & Manuel Turizo,2024-07-02,2024-07-28,27,16,single,1,False,173547,85.70370370370371,88,2024-07-02,0,False,Single (1)
hablame claro || yandel & feid,Hablame Claro,Yandel & Feid,2025-09-16,2025-10-12,27,5,single,1,True,154969,81.14814814814815,84,2025-09-25,9,False,Single (1)
la nena || lyanno & rauw alejandro,LA NENA,Lyanno & Rauw Alejandro,2025-04-21,2025-05-25,27,25,single,1,True,200040,78.14814814814815,80,2025-04-27,6,False,Single (1)
my love || de la ghetto & quevedo,My Love,De La Ghetto & Quevedo,2024-06-04,2024-07-01,27,36,single,1,False,214123,73.77777777777777,78,2024-06-15,11,False,Single (1)
un x100to || grupo frontera & bad bunny,un x100to,Grupo Frontera & Bad Bunny,2024-05-18,2024-06-14,27,31,single,1,False,194563,99.96296296296296,100,2024-05-21,3,False,Single (1)
duro || quevedo,DURO,Quevedo,2025-11-02,2025-11-27,26,1,single,1,False,162204,72.5,76,2025-11-02,0,True,Single (1)
yo sé || yan block & torrres,Yo sé,Yan Block & TORRRES,2025-11-01,2025-11-27,26,8,single,1,True,129705,72.65384615384616,76,2025-11-22,21,True,Single (1)
perreo lento || chris jedi & gaby music & dei v,PERREO LENTO,Chris Jedi & Gaby Music & Dei V,2025-03-02,2025-03-29,26,28,single,5,True,156640,74.6923076923077,75,2025-03-07,5,False,EP (2-5)
2xll || jc reyes & yovngchimi & slayter,2xLL,JC Reyes & YOVNGCHIMI & Slayter,2025-07-12,2025-08-09,26,35,single,1,False,178909,68.8076923076923,71,2025-07-23,11,False,Single (1)
polaris || saiko,Polaris,Saiko,2024-05-18,2024-06-11,25,22,single,3,True,192122,77.68,78,2024-06-10,23,False,EP (2-5)
diabla || los diozes,DIABLA,Los Diozes,2025-10-27,2025-11-20,25,17,album,8,True,217945,67.48,70,2025-11-03,7,False,Album (6-12)
nueva era || duki,Nueva Era,Duki,2025-11-03,2025-11-27,25,3,album,15,True,217547,78.76,83,2025-11-08,5,True,Large Album (13+)
no has cambiado || baby rasta & noriel & hades66,No Has Cambiado,Baby Rasta & Noriel & Hades66,2025-10-13,2025-11-27,24,11,single,1,True,276404,69.58333333333333,71,2025-10-15,2,True,Single (1)
mi nena remix || maikel delacalle & quevedo,Mi Nena Remix,Maikel Delacalle & Quevedo,2024-05-18,2024-06-10,24,26,single,1,False,220000,81.16666666666667,82,2024-05-19,1,False,Single (1)
espresso || sabrina carpenter,Espresso,Sabrina Carpenter,2025-06-09,2025-07-03,24,39,single,1,True,175459,96.29166666666669,99,2025-06-28,19,False,Single (1)
ia || clarent,IA,Clarent,2025-10-20,2025-11-12,24,1,single,1,True,171428,72.54166666666667,78,2025-11-09,20,False,Single (1)
falsos recuerdos || abraham mateo & omar montes,Falsos Recuerdos,Abraham Mateo & Omar Montes,2025-02-01,2025-02-25,24,32,single,1,False,191414,71.83333333333333,75,2025-02-08,7,False,Single (1)
se pone las nike || cano,Se Pone Las Nike,Cano,2025-11-06,2025-11-27,22,6,album,10,False,159375,66.54545454545455,72,2025-11-14,8,True,Album (6-12)
mi ex tenía razón || karol g,MI EX TENÍA RAZÓN,KAROL G,2024-08-13,2025-07-31,22,16,album,9,False,154374,79.0909090909091,85,2024-08-13,0,False,Album (6-12)
